step,contact_threshold_rx_power_dbm,contact_threshold_snr_db,feasible_contact_decisions,feasible_contact_pairs,greedy_comm_bytes,greedy_comm_cumulative_mb,greedy_comm_mb,greedy_events,local_policy_initial_pull_probability,noise_floor_dbm,propagation_loss_contact_threshold_db,rssi_gossip_threshold_dbm,snr_min_db,t2_b0_comm_bytes,t2_b0_comm_cumulative_mb,t2_b0_comm_cumulative_vs_greedy_ratio,t2_b0_comm_mb,t2_b0_comm_vs_greedy_ratio,t2_b0_events,t2_b0_merge_metadata_bytes,t2_b0_metadata_bytes,t2_b0_model_bytes,t2_b0_policy_model_bytes,t2_b0_selected_providers
118,-100.0,5.0,748,374,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20663596,2414.216388,nan,20.663596,nan,120,960,518364,17268960,2875312,120
119,-100.0,5.0,750,375,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20672670,2434.889058,nan,20.67267,nan,120,960,519750,17268960,2883000,120
120,-100.0,5.0,752,376,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20681744,2455.570802,nan,20.681744,nan,120,960,521136,17268960,2890688,120
121,-100.0,5.0,784,392,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20826928,2476.39773,nan,20.826928,nan,120,960,543312,17268960,3013696,120
122,-100.0,5.0,748,374,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20663596,2497.061326,nan,20.663596,nan,120,960,518364,17268960,2875312,120
123,-100.0,5.0,750,375,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20672670,2517.733996,nan,20.67267,nan,120,960,519750,17268960,2883000,120
124,-100.0,5.0,758,379,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20708966,2538.442962,nan,20.708966,nan,120,960,525294,17268960,2913752,120
125,-100.0,5.0,792,396,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20863224,2559.306186,nan,20.863224,nan,120,960,548856,17268960,3044448,120
126,-100.0,5.0,778,389,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20655790,2579.961976,nan,20.65579,nan,119,952,539154,17125052,2990632,119
127,-100.0,5.0,774,387,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20781558,2600.743534,nan,20.781558,nan,120,960,536382,17268960,2975256,120
128,-100.0,5.0,806,403,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20926742,2621.670276,nan,20.926742,nan,120,960,558558,17268960,3098264,120
129,-100.0,5.0,818,409,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20981186,2642.651462,nan,20.981186,nan,120,960,566874,17268960,3144392,120
130,-100.0,5.0,822,411,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20999334,2663.650796,nan,20.999334,nan,120,960,569646,17268960,3159768,120
131,-100.0,5.0,816,408,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20972112,2684.622908,nan,20.972112,nan,120,960,565488,17268960,3136704,120
132,-100.0,5.0,834,417,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,21053778,2705.676686,nan,21.053778,nan,120,960,577962,17268960,3205896,120
133,-100.0,5.0,818,409,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20981186,2726.657872,nan,20.981186,nan,120,960,566874,17268960,3144392,120
134,-100.0,5.0,786,393,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20836002,2747.493874,nan,20.836002,nan,120,960,544698,17268960,3021384,120
135,-100.0,5.0,772,386,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20772484,2768.266358,nan,20.772484,nan,120,960,534996,17268960,2967568,120
136,-100.0,5.0,756,378,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20699892,2788.96625,nan,20.699892,nan,120,960,523908,17268960,2906064,120
137,-100.0,5.0,748,374,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20663596,2809.629846,nan,20.663596,nan,120,960,518364,17268960,2875312,120
138,-100.0,5.0,736,368,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20609152,2830.238998,nan,20.609152,nan,120,960,510048,17268960,2829184,120
139,-100.0,5.0,736,368,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20609152,2850.84815,nan,20.609152,nan,120,960,510048,17268960,2829184,120
140,-100.0,5.0,740,370,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20627300,2871.47545,nan,20.6273,nan,120,960,512820,17268960,2844560,120
141,-100.0,5.0,770,385,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20763410,2892.23886,nan,20.76341,nan,120,960,533610,17268960,2959880,120
142,-100.0,5.0,760,380,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20718040,2912.9569,nan,20.71804,nan,120,960,526680,17268960,2921440,120
