step,mode,receiver_idx,new_rewards,replay_size,train_steps,loss
20,t2_b0,47,5,57,0,
20,t2_b0,48,5,83,16,1.4730253219604492
20,t2_b0,51,8,73,8,1.697637915611267
20,t2_b0,53,5,47,0,
20,t2_b0,55,6,44,0,
20,t2_b0,56,9,56,0,
21,t2_b0,0,7,78,8,1.3499486446380615
21,t2_b0,2,5,51,0,
21,t2_b0,3,5,30,0,
21,t2_b0,5,6,37,0,
21,t2_b0,6,4,49,0,
21,t2_b0,7,1,20,0,
21,t2_b0,9,8,47,0,
21,t2_b0,10,58,104,4,1.0760935544967651
21,t2_b0,11,3,60,0,
21,t2_b0,12,8,63,0,
21,t2_b0,13,9,69,4,24.664831161499023
21,t2_b0,14,6,74,8,1.3932408094406128
21,t2_b0,15,5,79,16,0.2802192270755768
21,t2_b0,16,8,84,16,0.36976343393325806
21,t2_b0,18,7,54,0,
21,t2_b0,19,2,26,0,
21,t2_b0,20,8,83,12,1.9993840456008911
21,t2_b0,21,5,63,0,
21,t2_b0,23,7,53,0,
21,t2_b0,24,8,57,0,
21,t2_b0,25,6,60,0,
21,t2_b0,27,7,64,4,1.5354857444763184
21,t2_b0,28,5,92,20,1.7387619018554688
21,t2_b0,29,6,57,0,
21,t2_b0,30,3,44,0,
21,t2_b0,31,4,88,16,0.8648379445075989
21,t2_b0,32,1,50,0,
21,t2_b0,33,6,61,0,
21,t2_b0,34,8,63,0,
21,t2_b0,35,9,87,16,2.469144582748413
21,t2_b0,36,8,58,0,
21,t2_b0,37,9,87,12,1.2044036388397217
21,t2_b0,39,7,54,0,
21,t2_b0,40,4,63,0,
21,t2_b0,41,4,79,16,0.7177683711051941
21,t2_b0,42,5,65,4,0.8037559390068054
21,t2_b0,43,8,83,12,1.6725150346755981
21,t2_b0,44,9,70,4,1.6211438179016113
21,t2_b0,45,7,90,16,1.759474754333496
21,t2_b0,46,9,64,4,0.8156053423881531
21,t2_b0,47,5,62,0,
21,t2_b0,48,6,89,20,1.4410290718078613
21,t2_b0,51,7,80,12,1.4551546573638916
21,t2_b0,53,6,53,0,
21,t2_b0,55,4,48,0,
21,t2_b0,56,4,60,0,
22,t2_b0,0,5,83,12,1.210023045539856
22,t2_b0,1,5,85,8,19.859495162963867
22,t2_b0,2,9,60,0,
22,t2_b0,3,7,37,0,
22,t2_b0,5,61,98,4,1.5879411697387695
22,t2_b0,6,1,50,0,
22,t2_b0,7,1,21,0,
22,t2_b0,9,5,52,0,
22,t2_b0,11,3,63,0,
22,t2_b0,12,65,128,4,1.4059650897979736
22,t2_b0,13,5,74,8,0.5781169533729553
22,t2_b0,14,6,80,12,1.0805280208587646
22,t2_b0,15,3,82,20,0.28621238470077515
22,t2_b0,16,79,163,20,0.5846297740936279
22,t2_b0,18,3,57,0,
22,t2_b0,19,4,30,0,
