step,contact_threshold_rx_power_dbm,contact_threshold_snr_db,feasible_contact_decisions,feasible_contact_pairs,greedy_comm_bytes,greedy_comm_cumulative_mb,greedy_comm_mb,greedy_events,local_policy_initial_pull_probability,noise_floor_dbm,propagation_loss_contact_threshold_db,rssi_gossip_threshold_dbm,snr_min_db,t2_b0_comm_bytes,t2_b0_comm_cumulative_mb,t2_b0_comm_cumulative_vs_greedy_ratio,t2_b0_comm_mb,t2_b0_comm_vs_greedy_ratio,t2_b0_events,t2_b0_merge_metadata_bytes,t2_b0_metadata_bytes,t2_b0_model_bytes,t2_b0_policy_model_bytes,t2_b0_selected_providers
77,-100.0,5.0,770,385,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,58469402,4583.037624,nan,58.469402,nan,382,3056,533610,54972856,2959880,382
78,-100.0,5.0,762,381,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,59440518,4642.478142,nan,59.440518,nan,389,3112,528066,55980212,2929128,389
79,-100.0,5.0,828,414,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,60603456,4703.081598,nan,60.603456,nan,395,3160,573804,56843660,3182832,395
80,-100.0,5.0,810,405,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,62392698,4765.474296,nan,62.392698,nan,408,3264,561330,58714464,3113640,408
81,-100.0,5.0,776,388,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,54898724,4820.37302,nan,54.898724,nan,357,2856,537768,51375156,2982944,357
82,-100.0,5.0,770,385,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,56022830,4876.39585,nan,56.02283,nan,365,2920,533610,52526420,2959880,365
83,-100.0,5.0,768,384,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,55150260,4931.54611,nan,55.15026,nan,359,2872,532224,51662972,2952192,359
84,-100.0,5.0,774,387,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,54170070,4985.71618,nan,54.17007,nan,352,2816,536382,50655616,2975256,352
85,-100.0,5.0,760,380,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,56840956,5042.557136,nan,56.840956,nan,371,2968,526680,53389868,2921440,371
86,-100.0,5.0,712,356,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,53169196,5095.726332,nan,53.169196,nan,347,2776,493416,49936076,2736928,347
87,-100.0,5.0,718,359,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,50749846,5146.476178,nan,50.749846,nan,330,2640,497574,47489640,2759992,330
88,-100.0,5.0,696,348,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,50218284,5196.694462,nan,50.218284,nan,327,2616,482328,47057916,2675424,327
89,-100.0,5.0,700,350,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,54122164,5250.816626,nan,54.122164,nan,354,2832,485100,50943432,2690800,354
90,-100.0,5.0,694,347,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,52511866,5303.328492,nan,52.511866,nan,343,2744,480942,49360444,2667736,343
91,-100.0,5.0,704,352,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,51261992,5354.590484,nan,51.261992,nan,334,2672,487872,48065272,2706176,334
92,-100.0,5.0,700,350,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,51819508,5406.409992,nan,51.819508,nan,338,2704,485100,48640904,2690800,338
93,-100.0,5.0,700,350,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,50092516,5456.502508,nan,50.092516,nan,326,2608,485100,46914008,2690800,326
94,-100.0,5.0,700,350,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,51387760,5507.890268,nan,51.38776,nan,335,2680,485100,48209180,2690800,335
95,-100.0,5.0,692,346,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,49624472,5557.51474,nan,49.624472,nan,323,2584,479556,46482284,2660048,323
96,-100.0,5.0,688,344,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,52196812,5609.711552,nan,52.196812,nan,341,2728,476784,49072628,2644672,341
97,-100.0,5.0,672,336,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,52268136,5661.979688,nan,52.268136,nan,342,2736,465696,49216536,2583168,342
98,-100.0,5.0,656,328,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,52195544,5714.175232,nan,52.195544,nan,342,2736,454608,49216536,2521664,342
99,-100.0,5.0,668,334,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,50091248,5764.26648,nan,50.091248,nan,327,2616,462924,47057916,2567792,327
100,-100.0,5.0,684,342,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,48149016,5812.415496,nan,48.149016,nan,313,2504,474012,45043204,2629296,313
101,-100.0,5.0,678,339,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,47833962,5860.249458,nan,47.833962,nan,311,2488,469854,44755388,2606232,311
102,-100.0,5.0,700,350,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,52539088,5912.788546,nan,52.539088,nan,343,2744,485100,49360444,2690800,343
103,-100.0,5.0,694,347,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,53519278,5966.307824,nan,53.519278,nan,350,2800,480942,50367800,2667736,350
104,-100.0,5.0,720,360,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,52485912,6018.793736,nan,52.485912,nan,342,2736,498960,49216536,2767680,342
105,-100.0,5.0,724,362,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,54806716,6073.600452,nan,54.806716,nan,358,2864,501732,51519064,2783056,358
106,-100.0,5.0,736,368,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,56300320,6129.900772,nan,56.30032,nan,368,2944,510048,52958144,2829184,368
107,-100.0,5.0,740,370,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,53008400,6182.909172,nan,53.0084,nan,345,2760,512820,49648260,2844560,345
108,-100.0,5.0,722,361,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,55085474,6237.994646,nan,55.085474,nan,360,2880,500346,51806880,2775368,360
109,-100.0,5.0,750,375,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,56651670,6294.646316,nan,56.65167,nan,370,2960,519750,53245960,2883000,370
110,-100.0,5.0,746,373,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,56345690,6350.992006,nan,56.34569,nan,368,2944,516978,52958144,2867624,368
111,-100.0,5.0,732,366,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,53116020,6404.108026,nan,53.11602,nan,346,2768,507276,49792168,2813808,346
112,-100.0,5.0,728,364,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,52953956,6457.061982,nan,52.953956,nan,345,2760,504504,49648260,2798432,345
113,-100.0,5.0,728,364,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,54537032,6511.599014,nan,54.537032,nan,356,2848,504504,51231248,2798432,356
114,-100.0,5.0,770,385,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,53432342,6565.031356,nan,53.432342,nan,347,2776,533610,49936076,2959880,347
115,-100.0,5.0,740,370,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,51569240,6616.600596,nan,51.56924,nan,335,2680,512820,48209180,2844560,335
116,-100.0,5.0,746,373,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,52459958,6669.060554,nan,52.459958,nan,341,2728,516978,49072628,2867624,341
117,-100.0,5.0,750,375,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,52334190,6721.394744,nan,52.33419,nan,340,2720,519750,48928720,2883000,340
118,-100.0,5.0,748,374,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,52756864,6774.151608,nan,52.756864,nan,343,2744,518364,49360444,2875312,343
119,-100.0,5.0,750,375,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,55212510,6829.364118,nan,55.21251,nan,360,2880,519750,51806880,2883000,360
120,-100.0,5.0,752,376,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,57668156,6887.032274,nan,57.668156,nan,377,3016,521136,54253316,2890688,377
121,-100.0,5.0,784,392,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,57813340,6944.845614,nan,57.81334,nan,377,3016,543312,54253316,3013696,377
122,-100.0,5.0,748,374,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,53908192,6998.753806,nan,53.908192,nan,351,2808,518364,50511708,2875312,351
123,-100.0,5.0,750,375,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,51038946,7049.792752,nan,51.038946,nan,331,2648,519750,47633548,2883000,331
124,-100.0,5.0,758,379,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,55536638,7105.32939,nan,55.536638,nan,362,2896,525294,52094696,2913752,362
125,-100.0,5.0,792,396,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,57993552,7163.322942,nan,57.993552,nan,378,3024,548856,54397224,3044448,378
126,-100.0,5.0,778,389,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,61671850,7224.994792,nan,61.67185,nan,404,3232,539154,58138832,2990632,404
127,-100.0,5.0,774,387,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,56328810,7281.323602,nan,56.32881,nan,367,2936,536382,52814236,2975256,367
128,-100.0,5.0,806,403,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,60791474,7342.115076,nan,60.791474,nan,397,3176,558558,57131476,3098264,397
129,-100.0,5.0,818,409,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,60702002,7402.817078,nan,60.702002,nan,396,3168,566874,56987568,3144392,396
130,-100.0,5.0,822,411,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,58129662,7460.94674,nan,58.129662,nan,378,3024,569646,54397224,3159768,378
131,-100.0,5.0,816,408,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,59541600,7520.48834,nan,59.5416,nan,388,3104,565488,55836304,3136704,388
132,-100.0,5.0,834,417,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,61494174,7581.982514,nan,61.494174,nan,401,3208,577962,57707108,3205896,401
133,-100.0,5.0,818,409,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,62572910,7644.555424,nan,62.57291,nan,409,3272,566874,58858372,3144392,409
134,-100.0,5.0,786,393,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,56527170,7701.082594,nan,56.52717,nan,368,2944,544698,52958144,3021384,368
135,-100.0,5.0,772,386,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,55744072,7756.826666,nan,55.744072,nan,363,2904,534996,52238604,2967568,363
136,-100.0,5.0,756,378,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,53512740,7810.339406,nan,53.51274,nan,348,2784,523908,50079984,2906064,348
137,-100.0,5.0,748,374,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,53908192,7864.247598,nan,53.908192,nan,351,2808,518364,50511708,2875312,351
138,-100.0,5.0,736,368,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,56156404,7920.404002,nan,56.156404,nan,367,2936,510048,52814236,2829184,367
139,-100.0,5.0,736,368,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,53422000,7973.826002,nan,53.422,nan,348,2784,510048,50079984,2829184,348
140,-100.0,5.0,740,370,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,52288820,8026.114822,nan,52.28882,nan,340,2720,512820,48928720,2844560,340
141,-100.0,5.0,770,385,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,56742410,8082.857232,nan,56.74241,nan,370,2960,533610,53245960,2959880,370
