step,contact_threshold_rx_power_dbm,contact_threshold_snr_db,feasible_contact_decisions,feasible_contact_pairs,greedy_comm_bytes,greedy_comm_cumulative_mb,greedy_comm_mb,greedy_events,local_policy_initial_pull_probability,noise_floor_dbm,propagation_loss_contact_threshold_db,rssi_gossip_threshold_dbm,snr_min_db,t2_b0_comm_bytes,t2_b0_comm_cumulative_mb,t2_b0_comm_cumulative_vs_greedy_ratio,t2_b0_comm_mb,t2_b0_comm_vs_greedy_ratio,t2_b0_events,t2_b0_merge_metadata_bytes,t2_b0_metadata_bytes,t2_b0_model_bytes,t2_b0_policy_model_bytes,t2_b0_selected_providers
124,-100.0,5.0,702,351,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,8222034,2312.215452,nan,8.222034,nan,35,280,486486,5036780,2698488,35
125,-100.0,5.0,814,407,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,12759826,2324.975278,nan,12.759826,nan,63,504,564102,9066204,3129016,63
126,-100.0,5.0,828,414,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,8649780,2333.625058,nan,8.64978,nan,34,272,573804,4892872,3182832,34
127,-100.0,5.0,832,416,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,11114500,2344.739558,nan,11.1145,nan,51,408,576576,7339308,3198208,51
128,-100.0,5.0,852,426,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,10485660,2355.225218,nan,10.48566,nan,46,368,590436,6619768,3275088,46
129,-100.0,5.0,910,455,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,14202790,2369.428008,nan,14.20279,nan,70,560,630630,10073560,3498040,70
130,-100.0,5.0,902,451,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,10856426,2380.284434,nan,10.856426,nan,47,376,625086,6763676,3467288,47
131,-100.0,5.0,886,443,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,10496002,2390.780436,nan,10.496002,nan,45,360,613998,6475860,3405784,45
132,-100.0,5.0,890,445,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,10945898,2401.726334,nan,10.945898,nan,48,384,616770,6907584,3421160,48
133,-100.0,5.0,892,446,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,15992032,2417.718366,nan,15.992032,nan,83,664,618156,11944364,3428848,83
134,-100.0,5.0,842,421,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,11015954,2428.73432,nan,11.015954,nan,50,400,583506,7195400,3236648,50
135,-100.0,5.0,832,416,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,9531424,2438.265744,nan,9.531424,nan,40,320,576576,5756320,3198208,40
136,-100.0,5.0,806,403,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,8693882,2446.959626,nan,8.693882,nan,35,280,558558,5036780,3098264,35
137,-100.0,5.0,810,405,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,7560702,2454.520328,nan,7.560702,nan,27,216,561330,3885516,3113640,27
138,-100.0,5.0,830,415,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,8514938,2463.035266,nan,8.514938,nan,33,264,575190,4748964,3190520,33
139,-100.0,5.0,826,413,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,6625882,2469.661148,nan,6.625882,nan,20,160,572418,2878160,3175144,20
