method,method_label,zone,replicate,valid_tail_evaluations,excluded_tail_steps,greedy_total,greedy_feasible_rmse,greedy_infeasible_rmse,communication_mb_per_s,run_directory
central,Central,factor_b3_v2,1,10,,11.33940585151406,6.832736719283966,14.076848275760813,0.0,results/paper/luxembourg_cell_grid_factorial_sweeps_v1/methods/factor_b3_v2/cell_grid_central_eval50_tail10x25
central,Central,factor_b3_v2,2,10,,10.92566630963247,10.171024145373979,11.526954216358613,0.0,results/paper/luxembourg_cell_grid_ci_temporal5_paper_final_v1/methods/factor_b3_v2/rep2/central_paper_final_full1800_eval50_tail10x25
central,Central,factor_b3_v2,3,10,,10.1054172225498,6.711598668413041,12.2731617153515,0.0,results/paper/luxembourg_cell_grid_ci_temporal5_paper_final_v1/methods/factor_b3_v2/rep3/central_paper_final_full1800_eval50_tail10x25
central,Central,factor_b3_v2,4,10,,9.312595352257473,6.171986976723635,11.316422089010894,0.0,results/paper/luxembourg_cell_grid_ci_temporal5_paper_final_v1/methods/factor_b3_v2/rep4/central_paper_final_full1800_eval50_tail10x25
central,Central,factor_b3_v2,5,10,,11.549123913723387,5.542555602088684,14.854170261518501,0.0,results/paper/luxembourg_cell_grid_ci_temporal5_paper_final_v1/methods/factor_b3_v2/rep5/central_paper_final_full1800_eval50_tail10x25
central,Central,factor_b3_v3,1,10,,8.375118866354642,8.481523957685486,8.233837665708908,0.0,results/paper/luxembourg_cell_grid_factorial_sweeps_v1/methods/factor_b3_v3/cell_grid_central_eval50_tail10x25
central,Central,factor_b3_v3,2,10,,8.202452832366143,6.967644671044657,9.478206621318442,0.0,results/paper/luxembourg_cell_grid_ci_temporal5_paper_final_v1/methods/factor_b3_v3/rep2/central_paper_final_full1800_eval50_tail10x25
central,Central,factor_b3_v3,3,10,,9.192325910058457,8.917210715803188,9.510555204304609,0.0,results/paper/luxembourg_cell_grid_ci_temporal5_paper_final_v1/methods/factor_b3_v3/rep3/central_paper_final_full1800_eval50_tail10x25
central,Central,factor_b3_v3,4,10,,9.109218224533034,8.77506045295392,9.494726161851954,0.0,results/paper/luxembourg_cell_grid_ci_temporal5_paper_final_v1/methods/factor_b3_v3/rep4/central_paper_final_full1800_eval50_tail10x25
central,Central,factor_b3_v3,5,10,,8.801500453088163,8.862780478617905,8.722611055118723,0.0,results/paper/luxembourg_cell_grid_ci_temporal5_paper_final_v1/methods/factor_b3_v3/rep5/central_paper_final_full1800_eval50_tail10x25
full,Full,factor_b1_v1,1,10,,17.15470752672723,8.861863259539367,29.658595985246063,179.71835116800003,results/paper/luxembourg_cell_grid_intensity_budget_sweep_v1/methods/factor_b1_v1/cell_grid_intensity_greedy_eval50_tail10x25
full,Full,factor_b1_v1,2,10,,17.250128949907943,10.093350690173056,28.760100446077793,95.339177664,results/paper/luxembourg_cell_grid_ci_temporal5_paper_final_v1/methods/factor_b1_v1/rep2/full_paper_final_full1800_eval50_tail10x25
full,Full,factor_b1_v1,3,10,,18.014331785924956,8.703357651333793,31.611790737967446,47.409753856,results/paper/luxembourg_cell_grid_ci_temporal5_paper_final_v1/methods/factor_b1_v1/rep3/full_paper_final_full1800_eval50_tail10x25
full,Full,factor_b1_v1,4,10,,16.979913812552834,9.226424575230956,28.892522526208097,94.702302336,results/paper/luxembourg_cell_grid_ci_temporal5_paper_final_v1/methods/factor_b1_v1/rep4/full_paper_final_full1800_eval50_tail10x25
full,Full,factor_b1_v1,5,9,1724,22.937251618589258,20.22722239330692,23.661827298256615,26.969200576000002,results/paper/luxembourg_cell_grid_ci_temporal5_paper_final_v1/methods/factor_b1_v1/rep5/full_paper_final_full1800_eval50_tail10x25
full,Full,factor_b1_v2,1,10,,14.520561512530303,8.275248536495448,22.904529567136354,370.00184137599996,results/paper/luxembourg_cell_grid_intensity_budget_sweep_v1/methods/factor_b1_v2/cell_grid_intensity_greedy_eval50_tail10x25
full,Full,factor_b1_v2,2,10,,14.90452394266389,9.289733497193357,22.836035382647733,243.623345632,results/paper/luxembourg_cell_grid_ci_temporal5_paper_final_v1/methods/factor_b1_v2/rep2/full_paper_final_full1800_eval50_tail10x25
