step,contact_threshold_rx_power_dbm,contact_threshold_snr_db,feasible_contact_decisions,feasible_contact_pairs,greedy_comm_bytes,greedy_comm_cumulative_mb,greedy_comm_mb,greedy_events,local_policy_initial_pull_probability,model_transfer_snr_min_db,network_half_duplex_rejections,network_mean_direction_capacity_bytes,network_mean_sinr_db,network_min_sinr_db,network_raw_contact_pairs,network_raw_directed_candidates,network_rejected_transfers,network_scheduled_transfers,network_shortlisted_directed_candidates,network_sinr_or_airtime_rejections,network_transfer_proposals,noise_floor_dbm,propagation_loss_contact_threshold_db,rssi_gossip_threshold_dbm,snr_min_db,t2_b0_comm_bytes,t2_b0_comm_cumulative_mb,t2_b0_comm_cumulative_vs_greedy_ratio,t2_b0_comm_mb,t2_b0_comm_vs_greedy_ratio,t2_b0_events,t2_b0_metadata_bytes,t2_b0_model_bytes,t2_b0_model_messages,t2_b0_policy_bytes,t2_b0_policy_messages,t2_b0_pull_events,t2_b0_scalar_bytes,t2_b0_scalar_control_bytes,t2_b0_scalar_control_messages,t2_b0_scalar_loss_bytes,t2_b0_scalar_loss_messages,t2_b0_scalar_messages,t2_b0_selected_providers,t2_b0_training_sample_bytes,t2_b0_training_sample_messages,t2_b0_valid_pull_events
60,-47.5,57.5,222,111,0,0.0,0.0,0,0.0,57.5,8,486082.22316732066,36.949495563272365,7.783101303460219,111,222,8,7,222,0,15,-105.0,70.5,-47.5,5.0,24970028,1098.988404,nan,24.970028,nan,7,7056,2024120,14,22937928,222,7,924,448,112,476,119,231,7,0,0,7
61,-47.5,57.5,226,113,0,0.0,0.0,0,0.0,57.5,5,488730.9868499272,24.284369112453547,6.642093335175067,113,226,5,9,226,0,14,-105.0,70.5,-47.5,5.0,25961476,1124.94988,nan,25.961476,nan,9,6624,2602440,18,23351224,226,9,1188,576,144,612,153,297,9,0,0,9
62,-47.5,57.5,198,99,0,0.0,0.0,0,0.0,57.5,6,562500.0,48.43241474449788,37.18559008602175,99,198,6,6,198,0,12,-105.0,70.5,-47.5,5.0,22198944,1147.148824,nan,22.198944,nan,6,5040,1734960,12,20458152,198,6,792,384,96,408,102,198,6,0,0,6
63,-47.5,57.5,202,101,0,0.0,0.0,0,0.0,57.5,7,562500.0,31.354682661648898,18.267976511517787,101,202,7,7,202,0,14,-105.0,70.5,-47.5,5.0,22901748,1170.050572,nan,22.901748,nan,7,5256,2024120,14,20871448,202,7,924,448,112,476,119,231,7,0,0,7
64,-47.5,57.5,162,81,0,0.0,0.0,0,0.0,57.5,4,521754.18602566246,27.13840687352849,6.916420401546668,81,162,4,10,162,0,14,-105.0,70.5,-47.5,5.0,19635728,1189.6863,nan,19.635728,nan,10,4320,2891600,20,16738488,162,10,1320,640,160,680,170,330,10,0,0,10
65,-47.5,57.5,166,83,0,0.0,0.0,0,0.0,57.5,3,562500.0,33.927580523963314,18.692275516794247,83,166,3,8,166,0,11,-105.0,70.5,-47.5,5.0,19469720,1209.15602,nan,19.46972,nan,8,3600,2313280,16,17151784,166,8,1056,512,128,544,136,264,8,0,0,8
66,-47.5,57.5,162,81,0,0.0,0.0,0,0.0,57.5,4,511941.61194913957,38.24795472937272,6.996829933580607,81,162,4,7,162,0,11,-105.0,70.5,-47.5,5.0,18766700,1227.92272,nan,18.7667,nan,7,3168,2024120,14,16738488,162,7,924,448,112,476,119,231,7,0,0,7
67,-47.5,57.5,162,81,0,0.0,0.0,0,0.0,57.5,5,562500.0,44.99471486010557,31.771206025461364,81,162,5,6,162,0,11,-105.0,70.5,-47.5,5.0,18478200,1246.40092,nan,18.4782,nan,6,3960,1734960,12,16738488,162,6,792,384,96,408,102,198,6,0,0,6
68,-47.5,57.5,176,88,0,0.0,0.0,0,0.0,57.5,6,562500.0,43.772042045752414,37.683334274036284,88,176,6,7,176,0,13,-105.0,70.5,-47.5,5.0,20214244,1266.615164,nan,20.214244,nan,7,4176,2024120,14,18185024,176,7,924,448,112,476,119,231,7,0,0,7
69,-47.5,57.5,182,91,0,0.0,0.0,0,0.0,57.5,6,524380.2583972476,36.8081668323003,7.491074243368001,91,182,6,7,182,0,13,-105.0,70.5,-47.5,5.0,20835124,1287.450288,nan,20.835124,nan,7,5112,2024120,14,18804968,182,7,924,448,112,476,119,231,7,0,0,7
70,-47.5,57.5,186,93,0,0.0,0.0,0,0.0,57.5,7,550077.9784265115,38.5634046105288,12.22493338346947,93,186,7,7,186,0,14,-105.0,70.5,-47.5,5.0,21248276,1308.698564,nan,21.248276,nan,7,4968,2024120,14,19218264,186,7,924,448,112,476,119,231,7,0,0,7
71,-47.5,57.5,172,86,0,0.0,0.0,0,0.0,57.5,5,562500.0,32.64877379894621,19.30680651132124,86,172,5,9,172,0,14,-105.0,70.5,-47.5,5.0,20380108,1329.078672,nan,20.380108,nan,9,4752,2602440,18,17771728,172,9,1188,576,144,612,153,297,9,0,0,9
72,-47.5,57.5,172,86,0,0.0,0.0,0,0.0,57.5,5,517863.6203937025,33.44523225092773,8.810305612762876,86,172,5,8,172,0,13,-105.0,70.5,-47.5,5.0,20090816,1349.169488,nan,20.090816,nan,8,4752,2313280,16,17771728,172,8,1056,512,128,544,136,264,8,0,0,8
