step,feasible_contact_pairs,feasible_contact_decisions,t2_b0_events,t2_b0_pull_events,t2_b0_valid_pull_events,t2_b0_comm_mb,t2_b0_comm_cumulative_mb,t2_b0_metadata_bytes,t2_b0_model_bytes,t2_b0_policy_bytes,t2_b0_training_sample_bytes
343,3022,6044,51,51,51,2.40312,690.633624,0,2396184,0,0
344,3245,6490,40,40,40,1.8848,692.518424,0,1879360,0,0
345,3261,6522,50,50,50,2.356,694.874424,0,2349200,0,0
346,3256,6512,57,57,57,2.68584,697.560264,0,2678088,0,0
347,2801,5602,29,29,29,1.36648,698.926744,0,1362536,0,0
348,2624,5248,42,42,42,1.97904,700.905784,0,1973328,0,0
349,2579,5158,41,41,41,1.93192,702.837704,0,1926344,0,0
350,2579,5158,33,33,33,1.55496,704.392664,0,1550472,0,0
351,2695,5390,42,42,42,1.97904,706.371704,0,1973328,0,0
352,2885,5770,53,53,52,2.497224,708.868928,0,2490152,0,0
353,3171,6342,48,48,48,2.26176,711.130688,0,2255232,0,0
354,3346,6692,50,50,50,2.356,713.486688,0,2349200,0,0
355,3372,6744,35,35,35,1.6492,715.135888,0,1644440,0,0
356,3728,7456,32,32,32,1.50784,716.643728,0,1503488,0,0
357,4006,8012,47,47,47,2.21464,718.858368,0,2208248,0,0
358,3829,7658,62,62,62,2.92144,721.779808,0,2913008,0,0
359,3639,7278,127,127,127,5.98424,727.764048,0,5966968,0,0
