step,contact_threshold_rx_power_dbm,contact_threshold_snr_db,feasible_contact_decisions,feasible_contact_pairs,greedy_comm_bytes,greedy_comm_cumulative_mb,greedy_comm_mb,greedy_events,local_policy_initial_pull_probability,model_transfer_snr_min_db,network_half_duplex_rejections,network_mean_direction_capacity_bytes,network_mean_sinr_db,network_min_sinr_db,network_raw_contact_pairs,network_raw_directed_candidates,network_rejected_transfers,network_scheduled_transfers,network_shortlisted_directed_candidates,network_sinr_or_airtime_rejections,network_transfer_proposals,noise_floor_dbm,propagation_loss_contact_threshold_db,rssi_gossip_threshold_dbm,snr_min_db,t2_b0_comm_bytes,t2_b0_comm_cumulative_mb,t2_b0_comm_cumulative_vs_greedy_ratio,t2_b0_comm_mb,t2_b0_comm_vs_greedy_ratio,t2_b0_events,t2_b0_metadata_bytes,t2_b0_model_bytes,t2_b0_model_messages,t2_b0_policy_bytes,t2_b0_policy_messages,t2_b0_pull_events,t2_b0_scalar_bytes,t2_b0_scalar_control_bytes,t2_b0_scalar_control_messages,t2_b0_scalar_loss_bytes,t2_b0_scalar_loss_messages,t2_b0_scalar_messages,t2_b0_selected_providers,t2_b0_training_sample_bytes,t2_b0_training_sample_messages,t2_b0_valid_pull_events
65,-47.5,57.5,36,18,0,0.0,0.0,0,0.0,57.5,9,562500.0,33.80559643567739,18.689088976460283,18,36,9,6,36,0,15,-105.0,70.5,-47.5,5.0,1735752,130.1814,nan,1.735752,nan,6,0,1734960,12,0,0,6,792,384,96,408,102,198,6,0,0,6
66,-47.5,57.5,36,18,0,0.0,0.0,0,0.0,57.5,10,562500.0,40.42127303274158,27.6909665850973,18,36,10,5,36,0,15,-105.0,70.5,-47.5,5.0,1446460,131.62786,nan,1.44646,nan,5,0,1445800,10,0,0,5,660,320,80,340,85,165,5,0,0,5
67,-47.5,57.5,40,20,0,0.0,0.0,0,0.0,57.5,9,562500.0,37.579325270135726,19.76472528125304,20,40,9,8,40,0,17,-105.0,70.5,-47.5,5.0,2314336,133.942196,nan,2.314336,nan,8,0,2313280,16,0,0,8,1056,512,128,544,136,264,8,0,0,8
68,-47.5,57.5,36,18,0,0.0,0.0,0,0.0,57.5,11,562500.0,38.13597397069335,27.226656909657784,18,36,11,7,36,0,18,-105.0,70.5,-47.5,5.0,2025044,135.96724,nan,2.025044,nan,7,0,2024120,14,0,0,7,924,448,112,476,119,231,7,0,0,7
69,-47.5,57.5,42,21,0,0.0,0.0,0,0.0,57.5,11,562500.0,36.54050842353628,27.918253039385515,21,42,11,7,42,0,18,-105.0,70.5,-47.5,5.0,2025044,137.992284,nan,2.025044,nan,7,0,2024120,14,0,0,7,924,448,112,476,119,231,7,0,0,7
70,-47.5,57.5,44,22,0,0.0,0.0,0,0.0,57.5,12,562500.0,46.558330763183164,35.936437260571005,22,44,12,6,44,0,18,-105.0,70.5,-47.5,5.0,1735752,139.728036,nan,1.735752,nan,6,0,1734960,12,0,0,6,792,384,96,408,102,198,6,0,0,6
71,-47.5,57.5,46,23,0,0.0,0.0,0,0.0,57.5,11,526023.1979130487,34.76326109911056,8.828755531391241,23,46,11,7,46,0,18,-105.0,70.5,-47.5,5.0,2025044,141.75308,nan,2.025044,nan,7,0,2024120,14,0,0,7,924,448,112,476,119,231,7,0,0,7
72,-47.5,57.5,50,25,0,0.0,0.0,0,0.0,57.5,13,562500.0,35.850592096064,19.022577068879958,25,50,13,7,50,0,20,-105.0,70.5,-47.5,5.0,2025044,143.778124,nan,2.025044,nan,7,0,2024120,14,0,0,7,924,448,112,476,119,231,7,0,0,7
73,-47.5,57.5,52,26,0,0.0,0.0,0,0.0,57.5,11,504164.3163208024,26.98076366216207,9.81656082767276,26,52,11,9,52,0,20,-105.0,70.5,-47.5,5.0,2603628,146.381752,nan,2.603628,nan,9,0,2602440,18,0,0,9,1188,576,144,612,153,297,9,0,0,9
74,-47.5,57.5,52,26,0,0.0,0.0,0,0.0,57.5,12,530007.7904900821,30.67201311062552,8.637668172121767,26,52,12,8,52,0,20,-105.0,70.5,-47.5,5.0,2314336,148.696088,nan,2.314336,nan,8,0,2313280,16,0,0,8,1056,512,128,544,136,264,8,0,0,8
