step,pending_transitions,pull_updates_this_step,queued_transitions,t2_b0.25_train_updates,train_updates_this_step
926,3187,818,279,154004,160
927,3238,826,296,154172,168
928,3224,808,337,154340,168
929,3258,828,305,154520,180
930,3173,830,420,154696,176
931,3128,780,357,154868,172
932,3180,790,261,155044,176
933,3260,784,265,155236,192
934,3199,772,410,155432,196
935,3251,776,289,155620,188
936,3206,788,371,155812,192
937,3134,798,410,156004,192
938,3083,802,393,156192,188
939,3100,808,353,156376,184
940,3017,826,415,156564,188
941,3070,840,313,156748,184
942,3062,824,331,156920,172
943,3020,786,334,157080,160
944,3060,798,270,157244,164
945,2963,754,377,157400,156
946,2744,754,505,157552,152
947,2806,758,235,157700,148
948,2904,760,188,157852,152
949,2950,786,270,158016,164
950,2993,788,274,158176,160
951,3063,824,278,158344,168
952,3126,842,271,158520,176
953,3218,850,231,158692,172
954,3138,868,418,158872,180
955,3269,860,240,159044,172
956,3247,844,357,159244,200
957,3376,834,236,159428,184
958,3386,840,297,159620,192
959,3439,848,244,159804,184
960,3459,840,245,159980,176
961,3171,814,540,160156,176
962,3193,800,236,160308,152
963,3179,812,306,160460,152
964,3205,780,261,160612,152
965,3091,764,349,160772,160
966,2974,780,369,160932,160
967,2927,774,323,161080,148
968,2931,764,279,161232,152
969,2973,768,281,161384,152
970,2822,768,470,161536,152
971,2796,788,358,161692,156
972,2879,790,258,161836,144
973,2937,782,296,161988,152
974,2921,798,354,162140,152
975,2767,770,452,162300,160
976,2827,764,280,162456,156
977,2802,754,333,162620,164
978,2804,750,309,162776,156
979,2696,736,418,162932,156
980,2794,728,211,163084,152
981,2725,738,383,163248,164
982,2752,748,252,163404,156
983,2728,738,328,163556,152
984,2672,750,377,163712,156
