step,contact_threshold_rx_power_dbm,contact_threshold_snr_db,feasible_contact_decisions,feasible_contact_pairs,greedy_comm_bytes,greedy_comm_cumulative_mb,greedy_comm_mb,greedy_events,local_policy_initial_pull_probability,noise_floor_dbm,propagation_loss_contact_threshold_db,rssi_gossip_threshold_dbm,snr_min_db,t2_b0.25_comm_bytes,t2_b0.25_comm_cumulative_mb,t2_b0.25_comm_cumulative_vs_greedy_ratio,t2_b0.25_comm_mb,t2_b0.25_comm_vs_greedy_ratio,t2_b0.25_events,t2_b0.25_merge_metadata_bytes,t2_b0.25_metadata_bytes,t2_b0.25_model_bytes,t2_b0.25_policy_model_bytes,t2_b0.25_selected_providers
120,-100.0,5.0,738,369,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,46954854,6556.373458,nan,46.954854,nan,303,2424,511434,43604124,2836872,303
121,-100.0,5.0,730,365,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,45335482,6601.70894,nan,45.335482,nan,292,2336,505890,42021136,2806120,292
122,-100.0,5.0,724,362,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,47179168,6648.888108,nan,47.179168,nan,305,2440,501732,43891940,2783056,305
123,-100.0,5.0,714,357,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,48860790,6697.748898,nan,48.86079,nan,317,2536,494802,45618836,2744616,317
124,-100.0,5.0,702,351,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,43481454,6741.230352,nan,43.481454,nan,280,2240,486486,40294240,2698488,280
125,-100.0,5.0,814,407,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,51329314,6792.559666,nan,51.329314,nan,331,2648,564102,47633548,3129016,331
126,-100.0,5.0,828,414,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,50385420,6842.945086,nan,50.38542,nan,324,2592,573804,46626192,3182832,324
127,-100.0,5.0,832,416,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,56591956,6899.537042,nan,56.591956,nan,367,2936,576576,52814236,3198208,367
128,-100.0,5.0,852,426,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,56538780,6956.075822,nan,56.53878,nan,366,2928,590436,52670328,3275088,366
129,-100.0,5.0,910,455,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,54211438,7010.28726,nan,54.211438,nan,348,2784,630630,50079984,3498040,348
130,-100.0,5.0,902,451,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,58492622,7068.779882,nan,58.492622,nan,378,3024,625086,54397224,3467288,378
131,-100.0,5.0,886,443,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,57556534,7126.336416,nan,57.556534,nan,372,2976,613998,53533776,3405784,372
132,-100.0,5.0,890,445,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,57286850,7183.623266,nan,57.28685,nan,370,2960,616770,53245960,3421160,370
133,-100.0,5.0,892,446,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,54561520,7238.184786,nan,54.56152,nan,351,2808,618156,50511708,3428848,351
134,-100.0,5.0,842,421,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,53902922,7292.087708,nan,53.902922,nan,348,2784,583506,50079984,3236648,348
135,-100.0,5.0,832,416,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,54145384,7346.233092,nan,54.145384,nan,350,2800,576576,50367800,3198208,350
136,-100.0,5.0,806,403,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,52012598,7398.24569,nan,52.012598,nan,336,2688,558558,48353088,3098264,336
137,-100.0,5.0,810,405,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,50447670,7448.69336,nan,50.44767,nan,325,2600,561330,46770100,3113640,325
138,-100.0,5.0,830,415,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,52409318,7501.102678,nan,52.409318,nan,338,2704,575190,48640904,3190520,338
139,-100.0,5.0,826,413,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,51383758,7552.486436,nan,51.383758,nan,331,2648,572418,47633548,3175144,331
