zone	replicate	stage	configuration	job_id	dependency	output
factor_b1_v2_300m	3	mobility	-	2205404	afterok:2205338	/usr/itetnas04/data-scratch-01/hgraef/data/luxembourg_ci_temporal5_paper_final_v1/replicates/factor_b1_v2_300m/rep3/mobility/factor_b1_v2_300m_rep3_all_vehicles_1s_full1800.json
factor_b1_v2_300m	3	raytrace	-	2205405	afterok:2205404	/usr/itetnas04/data-scratch-01/hgraef/data/luxembourg_ci_temporal5_paper_final_v1/replicates/factor_b1_v2_300m/rep3/rssi/shards
factor_b1_v2_300m	3	merge	-	2205406	afterok:2205405	/usr/itetnas04/data-scratch-01/hgraef/data/luxembourg_ci_temporal5_paper_final_v1/replicates/factor_b1_v2_300m/rep3/rssi/factor_b1_v2_300m_rep3_vehicles_1s_opaque_no_vehicle_blockers_ge-100dbm_r20k_d3_llvm.npz
factor_b1_v2_300m	3	simulation	iso	2205407	afterok:2205406	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_ci_temporal5_paper_final_v1/methods/factor_b1_v2/rep3/iso_paper_final_full1800_eval50_tail10x25
factor_b1_v2_300m	3	simulation	central	2205408	afterok:2205406	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_ci_temporal5_paper_final_v1/methods/factor_b1_v2/rep3/central_paper_final_full1800_eval50_tail10x25
factor_b1_v2_300m	3	simulation	full	2205409	afterok:2205406	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_ci_temporal5_paper_final_v1/methods/factor_b1_v2/rep3/full_paper_final_full1800_eval50_tail10x25
factor_b1_v2_300m	3	simulation	top5	2205410	afterok:2205406	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_ci_temporal5_paper_final_v1/methods/factor_b1_v2/rep3/top5_paper_final_full1800_eval50_tail10x25
factor_b1_v2_300m	3	simulation	every1	2205411	afterok:2205406	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_ci_temporal5_paper_final_v1/methods/factor_b1_v2/rep3/every1_paper_final_full1800_eval50_tail10x25
factor_b1_v2_300m	3	simulation	every5	2205412	afterok:2205406	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_ci_temporal5_paper_final_v1/methods/factor_b1_v2/rep3/every5_paper_final_full1800_eval50_tail10x25
factor_b1_v2_300m	3	simulation	every10	2205413	afterok:2205406	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_ci_temporal5_paper_final_v1/methods/factor_b1_v2/rep3/every10_paper_final_full1800_eval50_tail10x25
factor_b1_v2_300m	3	simulation	every20	2205414	afterok:2205406	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_ci_temporal5_paper_final_v1/methods/factor_b1_v2/rep3/every20_paper_final_full1800_eval50_tail10x25
factor_b1_v2_300m	3	simulation	every40	2205415	afterok:2205406	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_ci_temporal5_paper_final_v1/methods/factor_b1_v2/rep3/every40_paper_final_full1800_eval50_tail10x25
factor_b1_v2_300m	3	simulation	every80	2205416	afterok:2205406	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_ci_temporal5_paper_final_v1/methods/factor_b1_v2/rep3/every80_paper_final_full1800_eval50_tail10x25
factor_b1_v2_300m	4	mobility	-	2205417	afterok:2205338	/usr/itetnas04/data-scratch-01/hgraef/data/luxembourg_ci_temporal5_paper_final_v1/replicates/factor_b1_v2_300m/rep4/mobility/factor_b1_v2_300m_rep4_all_vehicles_1s_full1800.json
factor_b1_v2_300m	4	raytrace	-	2205418	afterok:2205417	/usr/itetnas04/data-scratch-01/hgraef/data/luxembourg_ci_temporal5_paper_final_v1/replicates/factor_b1_v2_300m/rep4/rssi/shards
factor_b1_v2_300m	4	merge	-	2205419	afterok:2205418	/usr/itetnas04/data-scratch-01/hgraef/data/luxembourg_ci_temporal5_paper_final_v1/replicates/factor_b1_v2_300m/rep4/rssi/factor_b1_v2_300m_rep4_vehicles_1s_opaque_no_vehicle_blockers_ge-100dbm_r20k_d3_llvm.npz
factor_b1_v2_300m	4	simulation	iso	2205420	afterok:2205419	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_ci_temporal5_paper_final_v1/methods/factor_b1_v2/rep4/iso_paper_final_full1800_eval50_tail10x25
factor_b1_v2_300m	4	simulation	central	2205421	afterok:2205419	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_ci_temporal5_paper_final_v1/methods/factor_b1_v2/rep4/central_paper_final_full1800_eval50_tail10x25
factor_b1_v2_300m	4	simulation	full	2205422	afterok:2205419	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_ci_temporal5_paper_final_v1/methods/factor_b1_v2/rep4/full_paper_final_full1800_eval50_tail10x25
factor_b1_v2_300m	4	simulation	top5	2205423	afterok:2205419	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_ci_temporal5_paper_final_v1/methods/factor_b1_v2/rep4/top5_paper_final_full1800_eval50_tail10x25
factor_b1_v2_300m	4	simulation	every1	2205424	afterok:2205419	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_ci_temporal5_paper_final_v1/methods/factor_b1_v2/rep4/every1_paper_final_full1800_eval50_tail10x25
factor_b1_v2_300m	4	simulation	every5	2205425	afterok:2205419	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_ci_temporal5_paper_final_v1/methods/factor_b1_v2/rep4/every5_paper_final_full1800_eval50_tail10x25
factor_b1_v2_300m	4	simulation	every10	2205426	afterok:2205419	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_ci_temporal5_paper_final_v1/methods/factor_b1_v2/rep4/every10_paper_final_full1800_eval50_tail10x25
