step,active_count,active_ids
601,2,dyn_a3_existing_sparse_block;dyn_a4_existing_dense_block
602,2,dyn_a3_existing_sparse_block;dyn_a4_existing_dense_block
603,2,dyn_a3_existing_sparse_block;dyn_a4_existing_dense_block
604,2,dyn_a3_existing_sparse_block;dyn_a4_existing_dense_block
605,2,dyn_a3_existing_sparse_block;dyn_a4_existing_dense_block
606,2,dyn_a3_existing_sparse_block;dyn_a4_existing_dense_block
607,2,dyn_a3_existing_sparse_block;dyn_a4_existing_dense_block
608,2,dyn_a3_existing_sparse_block;dyn_a4_existing_dense_block
609,2,dyn_a3_existing_sparse_block;dyn_a4_existing_dense_block
610,2,dyn_a3_existing_sparse_block;dyn_a4_existing_dense_block
611,2,dyn_a3_existing_sparse_block;dyn_a4_existing_dense_block
612,2,dyn_a3_existing_sparse_block;dyn_a4_existing_dense_block
613,2,dyn_a3_existing_sparse_block;dyn_a4_existing_dense_block
614,2,dyn_a3_existing_sparse_block;dyn_a4_existing_dense_block
615,2,dyn_a3_existing_sparse_block;dyn_a4_existing_dense_block
616,2,dyn_a3_existing_sparse_block;dyn_a4_existing_dense_block
617,2,dyn_a3_existing_sparse_block;dyn_a4_existing_dense_block
618,2,dyn_a3_existing_sparse_block;dyn_a4_existing_dense_block
619,2,dyn_a3_existing_sparse_block;dyn_a4_existing_dense_block
620,1,dyn_a4_existing_dense_block
621,1,dyn_a4_existing_dense_block
622,1,dyn_a4_existing_dense_block
623,1,dyn_a4_existing_dense_block
624,1,dyn_a4_existing_dense_block
625,0,
626,0,
627,0,
628,0,
629,0,
630,0,
631,0,
632,0,
633,0,
634,0,
635,0,
636,0,
637,0,
638,0,
639,0,
640,1,dyn_a3_existing_sparse_block
641,1,dyn_a3_existing_sparse_block
642,1,dyn_a3_existing_sparse_block
643,1,dyn_a3_existing_sparse_block
644,1,dyn_a3_existing_sparse_block
645,1,dyn_a3_existing_sparse_block
646,1,dyn_a3_existing_sparse_block
647,1,dyn_a3_existing_sparse_block
648,1,dyn_a3_existing_sparse_block
649,1,dyn_a3_existing_sparse_block
650,1,dyn_a3_existing_sparse_block
651,1,dyn_a3_existing_sparse_block
652,1,dyn_a3_existing_sparse_block
653,1,dyn_a3_existing_sparse_block
654,1,dyn_a3_existing_sparse_block
655,1,dyn_a3_existing_sparse_block
656,1,dyn_a3_existing_sparse_block
657,1,dyn_a3_existing_sparse_block
658,1,dyn_a3_existing_sparse_block
659,1,dyn_a3_existing_sparse_block
660,0,
661,0,
662,0,
663,0,
664,0,
665,0,
666,0,
667,0,
668,0,
669,0,
670,0,
671,0,
672,0,
673,0,
674,0,
675,1,dyn_a4_existing_dense_block
676,1,dyn_a4_existing_dense_block
677,1,dyn_a4_existing_dense_block
678,1,dyn_a4_existing_dense_block
